Ball Speed (km/h),Club Speed (km/h),Smash,Carry Distance (m),Launch Angle V (°),Spin (rpm),Height (m),Time (s),Club
146.1,116,1.26,106.9,20.7,7928,18,4.7,8I
160.7,130.7,1.23,127,21.2,4530,22,5.2,8I
151.3,127.2,1.19,114.6,22.4,6063,21,5.1,8I
157.5,128.4,1.23,122.1,21.7,5391,22,5.2,8I
151.8,121.8,1.25,117.1,22.8,4812,21,5.1,8I
143.7,122.4,1.17,107.3,23.4,5686,20,4.8,8I
158.3,128.6,1.23,122.8,20.1,5096,20,5.1,8I
156.5,120.3,1.3,117,20.6,8342,21,5.1,8I
156.7,131,1.2,122.4,21.5,4652,21,5.1,8I
154.1,140.5,1.1,116.9,17.8,4601,16,4.6,8I
160.1,130.2,1.23,120.8,23.4,8068,26,5.6,8I
153.2,129.2,1.19,116,19.5,5521,18,4.8,8I
148.3,125.7,1.18,111.1,22.1,6228,20,4.9,8I
149,130,1.15,111.9,21.3,5946,19,4.9,8I
148.9,122.7,1.21,112.1,21.6,5804,19,4.9,8I
151.5,125.1,1.21,114.6,21.7,6087,20,5,8I
151.6,129.2,1.17,113.2,21.1,7220,20,5,8I
153.2,129.3,1.19,115.8,22.5,6654,22,5.2,8I
149.2,126.7,1.18,112.8,21.5,5521,19,4.9,8I
142.9,124.9,1.14,104.2,22,8210,18,4.7,8I
156.9,130.8,1.2,122.9,22.7,4672,23,5.3,8I
148.4,124.4,1.19,112.6,21.4,4813,19,4.8,8I
150.8,127.5,1.18,113.9,25.8,6378,25,5.4,8I
149.2,124.5,1.2,111.6,25.1,7078,24,5.2,8I
152.8,127.9,1.2,114.6,18.1,5521,17,4.7,8I
153.5,128.1,1.2,117.1,21.4,5690,21,5,8I
128.2,115,1.12,88.4,21.3,8069,13,4,8I
129.4,113.4,1.14,91.6,28.5,9060,20,4.8,8I
127,106.1,1.2,89.7,24.2,4695,15,4.2,8I
131.4,110.6,1.19,92,21.1,6514,14,4.1,8I
127.2,108,1.18,84,17.9,4912,10,3.5,8I
126.8,105.8,1.2,87.4,21.7,6228,13,4,8I
126.6,105.5,1.2,86.8,21.1,5946,13,3.9,8I
129.7,105.6,1.23,92.2,23.4,4866,15,4.2,8I
122,102.3,1.19,85,28.5,6648,17,4.4,8I
128.7,111.4,1.16,91.7,29.4,6818,20,4.7,8I
138,125.1,1.1,95.2,16.7,6167,12,3.9,8I
144.7,121.5,1.19,109.1,28.1,5238,25,5.3,8I
141.1,117.5,1.2,104.1,26.6,6622,22,5,8I
156.2,128.9,1.21,118.4,20.9,6654,21,5.1,8I
143.1,118.1,1.21,107.4,22.6,4656,18,4.7,8I
118.5,95.6,1.24,80.5,25.1,4813,13,3.9,8I
150.4,125.8,1.2,114.2,19.9,4672,17,4.7,8I
144.6,121.9,1.19,106.2,22.6,7928,20,4.9,8I
151.4,125.2,1.21,113.9,22.2,6654,21,5.1,8I
