Ball Speed (km/h),Club Speed (km/h),Smash,Carry Distance (m),Launch Angle V (°),Spin (rpm),Height (m),Time (s),Club
159.5,134.6,1.19,115.3,12.8,5905,12,4.3,7I
152.4,135.6,1.12,105.3,12.1,5796,10,3.9,7I
161.3,132.9,1.21,122.1,17.5,6618,19,5,7I
158.1,127.2,1.24,119.2,18.4,6654,19,4.9,7I
166.5,-,-,131.7,19.1,4955,22,5.3,7I
157.6,-,-,121.8,18.2,4196,17,4.7,7I
166.7,-,-,127.2,19.6,7644,24,5.4,7I
159.8,-,-,120.4,18.1,7078,19,5,7I
169.7,-,-,131.5,18,6512,22,5.4,7I
162.9,132.8,1.23,127.4,17.6,4388,18,4.9,7I
146.4,135,1.09,107.3,19.3,6471,16,4.6,7I
158.7,136.5,1.16,118.8,17,6654,17,4.8,7I
162.2,133.6,1.21,126.3,17.4,4530,18,4.9,7I
163.9,134.8,1.22,126.8,19.4,6087,22,5.3,7I
169.4,134.1,1.26,131.7,18.8,6370,23,5.4,7I
189.1,142.5,1.33,154.8,20.2,5309,31,6.3,7I
165.1,140.7,1.17,127.6,18,5946,20,5.2,7I
162.8,134.6,1.21,125.7,19,5946,21,5.2,7I
164.4,122.3,1.35,130.3,18.7,4388,20,5.1,7I
171.3,114.4,1.5,135,15.2,4388,17,4.9,7I
171.1,135.6,1.26,133.9,14.7,4459,17,4.9,7I
171,132.7,1.29,131.3,16.5,6878,21,5.3,7I
162.4,-,-,123.4,19.3,7280,22,5.2,7I
160.5,131.2,1.22,124.3,17.3,4247,17,4.7,7I
171.9,136.2,1.26,134.9,16.8,5663,21,5.3,7I
151.6,128.2,1.18,110.7,15.9,5663,14,4.4,7I
156.2,124.4,1.26,120.8,19,4263,18,4.8,7I
168,133,1.26,133.6,17.6,4388,20,5.1,7I
